epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_group_grad_norm:0,avg_group_grad_norm_uniform:0,avg_group_loss_each_uniform:0,avg_group_feat_norm:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_group_grad_norm:1,avg_group_grad_norm_uniform:1,avg_group_loss_each_uniform:1,avg_group_feat_norm:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_group_grad_norm:2,avg_group_grad_norm_uniform:2,avg_group_loss_each_uniform:2,avg_group_feat_norm:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_group_grad_norm:3,avg_group_grad_norm_uniform:3,avg_group_loss_each_uniform:3,avg_group_feat_norm:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,avg_grad_norm,avg_grad_norm_uniform,avg_loss_each_uniform,avg_feat_norm
0,37,0.16501061618328094,0.0988440066576004,0.989708423614502,3498.0,3498.0,38.0,5.050951957702637,25.82992172241211,2.5315511226654053,0.4395197331905365,0.5211653113365173,0.6138721704483032,0.7010869979858398,184.0,184.0,37.0,13.732224464416504,14.804182052612305,1.6589738130569458,0.45982810854911804,1.5029380321502686,1.5450053215026855,0.1071428582072258,56.0,56.0,31.0,26.39739227294922,18.274169921875,1.8391201496124268,0.43978530168533325,0.7485461235046387,0.45685774087905884,0.5449385046958923,1057.0,1057.0,38.0,16.881750106811523,16.17673110961914,1.7588164806365967,0.4463540017604828,0.3207511603832245,0.3229362368583679,0.8702815175056458,8431.6220703125,0.421581103515625,8.241338729858398,23.190654754638672,2.319640636444092,0.44180864095687866
1,37,0.04074416309595108,0.03572907671332359,0.9977129101753235,3498.0,3498.0,38.0,1.335834264755249,33.498451232910156,4.205836296081543,0.4421731233596802,0.7712938785552979,0.6980816721916199,0.5652173757553101,184.0,184.0,37.0,16.34313201904297,18.087566375732422,1.8923323154449463,0.4523085951805115,1.5060572624206543,1.3369442224502563,0.2857142388820648,56.0,56.0,33.0,23.852514266967773,18.25749397277832,2.0108890533447266,0.4371938407421112,0.21362879872322083,0.19582459330558777,0.9224221110343933,1057.0,1057.0,38.0,5.535945415496826,27.098527908325195,2.7522687911987305,0.43572548031806946,0.12359290570020676,0.12400124967098236,0.956204354763031,8431.126953125,0.42155634765625,3.100546360015869,31.318302154541016,3.7710037231445312,0.44108259677886963
2,37,0.02634781412780285,0.026348287239670753,0.9982847571372986,3498.0,3498.0,38.0,0.8669711351394653,34.061832427978516,4.85514497756958,0.4372579753398895,0.4925268590450287,0.3756030201911926,0.7336957454681396,184.0,184.0,38.0,11.522319793701172,21.075937271118164,2.130796194076538,0.45724770426750183,1.043142557144165,1.2174904346466064,0.5357142686843872,56.0,56.0,29.0,17.479320526123047,18.692543029785156,2.0342581272125244,0.4374229907989502,0.158667653799057,0.14304842054843903,0.9403973817825317,1057.0,1057.0,38.0,3.9465715885162354,31.006668090820312,3.444718599319458,0.44401276111602783,0.08478216081857681,0.0852799341082573,0.9699687361717224,8430.580078125,0.42152900390625003,2.148725748062134,32.71055221557617,4.4067463874816895,0.43951600790023804
3,37,0.01976555958390236,0.019419284537434578,0.9982848763465881,3498.0,3498.0,38.0,0.6477599740028381,34.275264739990234,5.282631874084473,0.4345470666885376,0.3689294755458832,0.4015157222747803,0.8478259444236755,184.0,184.0,38.0,9.182005882263184,23.15378189086914,2.3618505001068115,0.4625689387321472,0.7745676040649414,0.6779268980026245,0.6785714030265808,56.0,56.0,33.0,13.67259693145752,20.326637268066406,2.1375246047973633,0.4380597174167633,0.10306380689144135,0.08333884179592133,0.9631029963493347,1057.0,1057.0,38.0,2.7312676906585693,33.13460159301758,4.114366054534912,0.4492287039756775,0.05981076508760452,0.06034143269062042,0.9810219407081604,8430.02734375,0.42150136718750003,1.586646318435669,33.434146881103516,4.876290321350098,0.4388997554779053
4,37,0.015054798685014248,0.014898225665092468,0.9982846975326538,3498.0,3498.0,38.0,0.4938749670982361,34.39384841918945,5.661706447601318,0.4325609505176544,0.25400447845458984,0.24959509074687958,0.907608687877655,184.0,184.0,38.0,6.769594192504883,26.888751983642578,2.6892428398132324,0.46853798627853394,0.5423702001571655,0.4855518341064453,0.7321429252624512,56.0,56.0,29.0,9.882146835327148,23.550804138183594,2.4448344707489014,0.43982595205307007,0.08981506526470184,0.07536129653453827,0.9697255492210388,1057.0,1057.0,38.0,2.4322779178619385,33.92717742919922,4.483091354370117,0.4542621672153473,0.04669826105237007,0.046862516552209854,0.9854013919830322,8429.4619140625,0.421473095703125,1.271636724472046,33.876346588134766,5.25026273727417,0.4388101100921631
5,37,0.010420751757919788,0.009525422006845474,0.9994282722473145,3498.0,3498.0,38.0,0.3503546118736267,34.547523498535156,6.023981094360352,0.4312673509120941,0.16468562185764313,0.12665976583957672,0.945652186870575,184.0,184.0,38.0,5.027070999145508,29.144184112548828,3.0186493396759033,0.4735157787799835,0.41126641631126404,0.31755331158638,0.8392857313156128,56.0,56.0,31.0,8.06256103515625,24.77984046936035,2.6013853549957275,0.4380602538585663,0.0611921101808548,0.06876987218856812,0.984862744808197,1057.0,1057.0,38.0,1.7539632320404053,35.20237731933594,4.916026592254639,0.4570571482181549,0.03236570581793785,0.03221374750137329,0.9922836422920227,8428.890625,0.42144453125000003,0.9292938709259033,34.370460510253906,5.624449253082275,0.4386529326438904
6,37,0.008653798140585423,0.009375850670039654,0.999714195728302,3498.0,3498.0,38.0,0.29296430945396423,34.60850143432617,6.284763813018799,0.4309132993221283,0.11509297043085098,0.16705894470214844,0.9728260636329651,184.0,184.0,38.0,3.6963887214660645,31.544973373413086,3.2034406661987305,0.47821682691574097,0.2909170389175415,0.3751598000526428,0.8928571343421936,56.0,56.0,28.0,5.478398323059082,28.710330963134766,2.982314109802246,0.43675732612609863,0.040821369737386703,0.041505858302116394,0.9924314022064209,1057.0,1057.0,38.0,1.2076823711395264,36.33235168457031,5.462028980255127,0.45778805017471313,0.023660942912101746,0.023125680163502693,0.9958290457725525,8428.3154296875,0.42141577148437503,0.6857633590698242,34.80206298828125,5.946592330932617,0.4387209415435791
7,37,0.006953520234674215,0.007002008613198996,0.9997141361236572,3498.0,3498.0,38.0,0.23030339181423187,34.667667388916016,6.585079669952393,0.43023747205734253,0.07565714418888092,0.08854150027036667,0.989130437374115,184.0,184.0,38.0,2.651895046234131,33.34858703613281,3.5549538135528564,0.48159825801849365,0.20957091450691223,0.22753053903579712,0.8928571343421936,56.0,56.0,29.0,4.563422203063965,29.14600372314453,3.157428741455078,0.438311368227005,0.03288903087377548,0.029993243515491486,0.9952697157859802,1057.0,1057.0,38.0,1.0017198324203491,36.921485900878906,5.752203941345215,0.4598468244075775,0.017755653709173203,0.01767341047525406,0.9970803260803223,8427.7275390625,0.42138637695312503,0.5438830852508545,35.04938888549805,6.245175361633301,0.4388296902179718
8,37,0.005920988041907549,0.005754804238677025,1.0,3498.0,3498.0,38.0,0.201605886220932,34.70400619506836,6.782276630401611,0.4301829934120178,0.06581024825572968,0.06545380502939224,0.9945651888847351,184.0,184.0,38.0,2.3577325344085693,34.4100456237793,3.7014684677124023,0.4884938597679138,0.1709904968738556,0.09268622100353241,0.9107141494750977,56.0,56.0,30.0,3.459367036819458,31.373395919799805,3.4318795204162598,0.43568646907806396,0.024011142551898956,0.017778800800442696,0.9971618056297302,1057.0,1057.0,38.0,0.7553574442863464,37.38419723510742,6.132990837097168,0.45916488766670227,0.014117381535470486,0.014134712517261505,0.998123049736023,8427.1376953125,0.421356884765625,0.4444583058357239,35.24464416503906,6.481800079345703,0.4388735294342041
9,37,0.004654069431126118,0.00521753029897809,1.0,3498.0,3498.0,38.0,0.1602800190448761,34.7376594543457,7.04709005355835,0.4297352731227875,0.04190439730882645,0.0478348582983017,1.0,184.0,184.0,38.0,1.566003680229187,36.11961364746094,4.043024063110352,0.4910058081150055,0.15093570947647095,0.09411067515611649,0.946428656578064,56.0,56.0,27.0,3.4873874187469482,30.2187442779541,3.4549806118011475,0.43355777859687805,0.0197808425873518,0.01699630357325077,0.999053955078125,1057.0,1057.0,38.0,0.6404456496238708,37.7286491394043,6.417044162750244,0.4601418673992157,0.011115451343357563,0.011126400902867317,0.9991658329963684,8426.541015625,0.42132705078125005,0.3589257299900055,35.39724349975586,6.7509765625,0.4388338327407837
